,alpha,sigma,only_negative_disturbances,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
265,1.5,0.5,True,iqr,0.8636363636363636,0.8636363636363636,0.5909090909090909,0.8636363636363636,0.22
266,1.5,0.5,True,std_dev,0.09090909090909091,0.45454545454545453,0.045454545454545456,0.45454545454545453,0.22
267,1.75,1e-10,False,ac1,1.0,1.0,1.0,1.0,1.0
268,1.75,1e-10,False,iqr,1.0,1.0,0.86,1.0,1.0
269,1.75,1e-10,False,std_dev,1.0,1.0,0.91,1.0,1.0
270,1.75,1e-10,True,ac1,1.0,1.0,1.0,1.0,1.0
271,1.75,1e-10,True,iqr,1.0,1.0,0.86,1.0,1.0
272,1.75,1e-10,True,std_dev,1.0,1.0,0.91,1.0,1.0
273,1.75,1e-08,False,ac1,1.0,1.0,1.0,1.0,1.0
274,1.75,1e-08,False,iqr,1.0,1.0,0.86,1.0,1.0
275,1.75,1e-08,False,std_dev,1.0,1.0,0.91,1.0,1.0
276,1.75,1e-08,True,ac1,1.0,1.0,1.0,1.0,1.0
277,1.75,1e-08,True,iqr,1.0,1.0,0.86,1.0,1.0
278,1.75,1e-08,True,std_dev,1.0,1.0,0.91,1.0,1.0
279,1.75,1e-06,False,ac1,1.0,1.0,1.0,1.0,1.0
280,1.75,1e-06,False,iqr,1.0,1.0,0.86,1.0,1.0
281,1.75,1e-06,False,std_dev,1.0,1.0,0.91,1.0,1.0
282,1.75,1e-06,True,ac1,1.0,1.0,1.0,1.0,1.0
283,1.75,1e-06,True,iqr,1.0,1.0,0.86,1.0,1.0
284,1.75,1e-06,True,std_dev,1.0,1.0,0.91,1.0,1.0
285,1.75,0.0001,False,ac1,1.0,1.0,1.0,1.0,1.0
286,1.75,0.0001,False,iqr,1.0,1.0,0.85,1.0,1.0
287,1.75,0.0001,False,std_dev,1.0,1.0,0.91,1.0,1.0
288,1.75,0.0001,True,ac1,1.0,1.0,1.0,1.0,1.0
289,1.75,0.0001,True,iqr,1.0,1.0,0.85,1.0,1.0
290,1.75,0.0001,True,std_dev,1.0,1.0,0.91,1.0,1.0
291,1.75,0.001,False,ac1,1.0,1.0,1.0,1.0,1.0
292,1.75,0.001,False,iqr,1.0,1.0,0.87,1.0,1.0
293,1.75,0.001,False,std_dev,0.99,1.0,0.85,1.0,1.0
294,1.75,0.001,True,ac1,1.0,1.0,1.0,1.0,1.0
295,1.75,0.001,True,iqr,1.0,1.0,0.87,1.0,1.0
296,1.75,0.001,True,std_dev,0.98,1.0,0.85,1.0,1.0
297,1.75,0.01,False,ac1,1.0,1.0,1.0,1.0,1.0
298,1.75,0.01,False,iqr,1.0,1.0,0.81,1.0,1.0
299,1.75,0.01,False,std_dev,0.77,1.0,0.47,1.0,1.0
300,1.75,0.01,True,ac1,1.0,1.0,1.0,1.0,1.0
301,1.75,0.01,True,iqr,1.0,1.0,0.75,1.0,1.0
302,1.75,0.01,True,std_dev,0.8,1.0,0.48,1.0,1.0
303,1.75,0.02,False,ac1,1.0,1.0,1.0,1.0,1.0
304,1.75,0.02,False,iqr,1.0,1.0,0.78,1.0,1.0
305,1.75,0.02,False,std_dev,0.71,0.99,0.38,0.99,1.0
306,1.75,0.02,True,ac1,1.0,1.0,1.0,1.0,1.0
307,1.75,0.02,True,iqr,1.0,1.0,0.74,1.0,1.0
308,1.75,0.02,True,std_dev,0.72,1.0,0.4,1.0,1.0
